finding_id,issue_title,unit,program,year,cause_category,cause_detail,issue_detail,recommendation,outcomes_impact,sim_score,score
FL-0249,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลบางระกำ,โครงการกองทุนหลักประกันสุขภาพ อบต./เทศบาล,2553,,"1.การปรับเปลี่ยนเป้าหมายของ                                                     
สปสช.จากเดิมที่กำหนดเป้าหมายให้องค์การบริหารส่วนตำบลหรือเทศบาลทุกแห่งจัดตั้ง    
กองทุนฯ ภายในปีงบประมาณ 2552 และกำหนดใหม่ตั้งแต่ พ.ศ.2553                       
เป็นต้นไปให้","๑.การจัดตั้งกองทุน ไม่ครบถ้วน/ต่ำกว่าเป้าหมาย จังหวัดตากมี                      
อบต./เทศบาลในพื้นที่ทั้งหมดจำนวน ๖๘ แห่ง ณ สิ้นปีงบประมาณ ๒๕๕๒ พบว่า มี         
 อบต./เทศบาลจัดตั้งกองทุนแล้ว ๔๗ แห่ง ต่ำกว่าเป้าหมายคิดเป็นร้อยละ ๓๐.๘๘        
๒.การสมทบเงิ","นายกองค์การบริหารส่วนตำบล/นายกเทศมนตรี                                          
ในฐานะประธานกรรมการบริหารระบบหลักประกันสุขภาพ พิจารณาดำเนินการ ดังนี้           
1. ให้ความสำคัญในการตั้งงบประมาณเพื่อสมทบกองทุนฯ อย่างต่อเนื่อง                 
และเมื่อได้ร","- ประชาชนในเขตพื้นที่ของ อปท. ที่ยังไม่ได้จัดตั้งกองทุนฯขาดโอกาสในการ           
มีส่วนร่วมในการบริหารจัดการงบประมาณและอาจไม่ได้รับการบริการด้านสาธารณสุข        
เชิงรุกที่เหมาะสม หรือบางพื้นที่ประชาชนอาจไม่สามารถเข้าถึงบริการสาธารณสุข       
ตามแนวทางของ",,
FL-0250,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลบางระกำ,โครงการกองทุนหลักประกันสุขภาพ อบต./เทศบาล,2553,,"1.การปรับเปลี่ยนเป้าหมายของ                                                     
สปสช.จากเดิมที่กำหนดเป้าหมายให้องค์การบริหารส่วนตำบลหรือเทศบาลทุกแห่งจัดตั้ง    
กองทุนฯ ภายในปีงบประมาณ 2552 และกำหนดใหม่ตั้งแต่ พ.ศ.2553                       
เป็นต้นไปให้","๑.การจัดตั้งกองทุน ไม่ครบถ้วน/ต่ำกว่าเป้าหมาย จังหวัดตากมี                      
อบต./เทศบาลในพื้นที่ทั้งหมดจำนวน ๖๘ แห่ง ณ สิ้นปีงบประมาณ ๒๕๕๒ พบว่า มี         
 อบต./เทศบาลจัดตั้งกองทุนแล้ว ๔๗ แห่ง ต่ำกว่าเป้าหมายคิดเป็นร้อยละ ๓๐.๘๘        
๒.การสมทบเงิ","นายกองค์การบริหารส่วนตำบล/นายกเทศมนตรี                                          
ในฐานะประธานกรรมการบริหารระบบหลักประกันสุขภาพ พิจารณาดำเนินการ ดังนี้           
1. ให้ความสำคัญในการตั้งงบประมาณเพื่อสมทบกองทุนฯ อย่างต่อเนื่อง                 
และเมื่อได้ร","- ประชาชนในเขตพื้นที่ของ อปท. ที่ยังไม่ได้จัดตั้งกองทุนฯขาดโอกาสในการ           
มีส่วนร่วมในการบริหารจัดการงบประมาณและอาจไม่ได้รับการบริการด้านสาธารณสุข        
เชิงรุกที่เหมาะสม หรือบางพื้นที่ประชาชนอาจไม่สามารถเข้าถึงบริการสาธารณสุข       
ตามแนวทางของ",,
FL-0251,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลบางระกำ,โครงการกองทุนหลักประกันสุขภาพ อบต./เทศบาล,2553,,,"๑.การจัดตั้งกองทุน ไม่ครบถ้วน/ต่ำกว่าเป้าหมาย จังหวัดพิษณุโลกมี                
$
อบต./เทศบาลในพื้นที่ทั้งหมดจำนวน ๑๐๒ แห่ง ณ สิ้นปีงบประมาณ ๒๕๕๒ พบว่า มี       
$
 อบต./เทศบาลจัดตั้งกองทุนแล้ว ๕๐ แห่ง ต่ำกว่าเป้าหมายคิดเป็นร้อยละ ๕๐.๙๘        
๒.การสมทบเ",,,,
FL-0252,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลบางระกำ,โครงการกองทุนหลักประกันสุขภาพ อบต./เทศบาล,2553,,"1.การปรับเปลี่ยนเป้าหมายของ                                                     
สปสช.จากเดิมที่กำหนดเป้าหมายให้องค์การบริหารส่วนตำบลหรือเทศบาลทุกแห่งจัดตั้ง    
กองทุนฯ ภายในปีงบประมาณ 2552 และกำหนดใหม่ตั้งแต่ พ.ศ.2553                       
เป็นต้นไปให้","๑.การจัดตั้งกองทุน ไม่ครบถ้วน/ต่ำกว่าเป้าหมาย จังหวัดตากมี                      
อบต./เทศบาลในพื้นที่ทั้งหมดจำนวน ๖๘ แห่ง ณ สิ้นปีงบประมาณ ๒๕๕๒ พบว่า มี         
 อบต./เทศบาลจัดตั้งกองทุนแล้ว ๔๗ แห่ง ต่ำกว่าเป้าหมายคิดเป็นร้อยละ ๓๐.๘๘        
๒.การสมทบเงิ","นายกองค์การบริหารส่วนตำบล/นายกเทศมนตรี                                          
ในฐานะประธานกรรมการบริหารระบบหลักประกันสุขภาพ พิจารณาดำเนินการ ดังนี้           
1. ให้ความสำคัญในการตั้งงบประมาณเพื่อสมทบกองทุนฯ อย่างต่อเนื่อง                 
และเมื่อได้ร","- ประชาชนในเขตพื้นที่ของ อปท. ที่ยังไม่ได้จัดตั้งกองทุนฯขาดโอกาสในการ           
มีส่วนร่วมในการบริหารจัดการงบประมาณและอาจไม่ได้รับการบริการด้านสาธารณสุข        
เชิงรุกที่เหมาะสม หรือบางพื้นที่ประชาชนอาจไม่สามารถเข้าถึงบริการสาธารณสุข       
ตามแนวทางของ",,
FL-0253,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลบางระกำ,โครงการกองทุนหลักประกันสุขภาพ อบต./เทศบาล,2553,,"1.การปรับเปลี่ยนเป้าหมายของ                                                     
สปสช.จากเดิมที่กำหนดเป้าหมายให้องค์การบริหารส่วนตำบลหรือเทศบาลทุกแห่งจัดตั้ง    
กองทุนฯ ภายในปีงบประมาณ 2552 และกำหนดใหม่ตั้งแต่ พ.ศ.2553                       
เป็นต้นไปให้","๑.การจัดตั้งกองทุน ไม่ครบถ้วน/ต่ำกว่าเป้าหมาย จังหวัดตากมี                      
อบต./เทศบาลในพื้นที่ทั้งหมดจำนวน ๖๘ แห่ง ณ สิ้นปีงบประมาณ ๒๕๕๒ พบว่า มี         
 อบต./เทศบาลจัดตั้งกองทุนแล้ว ๔๗ แห่ง ต่ำกว่าเป้าหมายคิดเป็นร้อยละ ๓๐.๘๘        
๒.การสมทบเงิ","นายกองค์การบริหารส่วนตำบล/นายกเทศมนตรี                                          
ในฐานะประธานกรรมการบริหารระบบหลักประกันสุขภาพ พิจารณาดำเนินการ ดังนี้           
1. ให้ความสำคัญในการตั้งงบประมาณเพื่อสมทบกองทุนฯ อย่างต่อเนื่อง                 
และเมื่อได้ร","- ประชาชนในเขตพื้นที่ของ อปท. ที่ยังไม่ได้จัดตั้งกองทุนฯขาดโอกาสในการ           
มีส่วนร่วมในการบริหารจัดการงบประมาณและอาจไม่ได้รับการบริการด้านสาธารณสุข        
เชิงรุกที่เหมาะสม หรือบางพื้นที่ประชาชนอาจไม่สามารถเข้าถึงบริการสาธารณสุข       
ตามแนวทางของ",,
FL-0254,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลบางระกำ,โครงการกองทุนหลักประกันสุขภาพ อบต./เทศบาล,2553,,"1.การปรับเปลี่ยนเป้าหมายของ                                                     
สปสช.จากเดิมที่กำหนดเป้าหมายให้องค์การบริหารส่วนตำบลหรือเทศบาลทุกแห่งจัดตั้ง    
กองทุนฯ ภายในปีงบประมาณ 2552 และกำหนดใหม่ตั้งแต่ พ.ศ.2553                       
เป็นต้นไปให้","๑.การจัดตั้งกองทุน ไม่ครบถ้วน/ต่ำกว่าเป้าหมาย จังหวัดตากมี                      
อบต./เทศบาลในพื้นที่ทั้งหมดจำนวน ๖๘ แห่ง ณ สิ้นปีงบประมาณ ๒๕๕๒ พบว่า มี         
 อบต./เทศบาลจัดตั้งกองทุนแล้ว ๔๗ แห่ง ต่ำกว่าเป้าหมายคิดเป็นร้อยละ ๓๐.๘๘        
๒.การสมทบเงิ","นายกองค์การบริหารส่วนตำบล/นายกเทศมนตรี                                          
ในฐานะประธานกรรมการบริหารระบบหลักประกันสุขภาพ พิจารณาดำเนินการ ดังนี้           
1. ให้ความสำคัญในการตั้งงบประมาณเพื่อสมทบกองทุนฯ อย่างต่อเนื่อง                 
และเมื่อได้ร","- ประชาชนในเขตพื้นที่ของ อปท. ที่ยังไม่ได้จัดตั้งกองทุนฯขาดโอกาสในการ           
มีส่วนร่วมในการบริหารจัดการงบประมาณและอาจไม่ได้รับการบริการด้านสาธารณสุข        
เชิงรุกที่เหมาะสม หรือบางพื้นที่ประชาชนอาจไม่สามารถเข้าถึงบริการสาธารณสุข       
ตามแนวทางของ",,
FL-0255,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลบางระกำ,โครงการกองทุนหลักประกันสุขภาพ อบต./เทศบาล,2553,,"1.การปรับเปลี่ยนเป้าหมายของ                                                     
สปสช.จากเดิมที่กำหนดเป้าหมายให้องค์การบริหารส่วนตำบลหรือเทศบาลทุกแห่งจัดตั้ง    
กองทุนฯ ภายในปีงบประมาณ 2552 และกำหนดใหม่ตั้งแต่ พ.ศ.2553                       
เป็นต้นไปให้","๑.การจัดตั้งกองทุน ไม่ครบถ้วน/ต่ำกว่าเป้าหมาย จังหวัดตากมี                      
อบต./เทศบาลในพื้นที่ทั้งหมดจำนวน ๖๘ แห่ง ณ สิ้นปีงบประมาณ ๒๕๕๒ พบว่า มี         
 อบต./เทศบาลจัดตั้งกองทุนแล้ว ๔๗ แห่ง ต่ำกว่าเป้าหมายคิดเป็นร้อยละ ๓๐.๘๘        
๒.การสมทบเงิ","นายกองค์การบริหารส่วนตำบล/นายกเทศมนตรี                                          
ในฐานะประธานกรรมการบริหารระบบหลักประกันสุขภาพ พิจารณาดำเนินการ ดังนี้           
1. ให้ความสำคัญในการตั้งงบประมาณเพื่อสมทบกองทุนฯ อย่างต่อเนื่อง                 
และเมื่อได้ร","- ประชาชนในเขตพื้นที่ของ อปท. ที่ยังไม่ได้จัดตั้งกองทุนฯขาดโอกาสในการ           
มีส่วนร่วมในการบริหารจัดการงบประมาณและอาจไม่ได้รับการบริการด้านสาธารณสุข        
เชิงรุกที่เหมาะสม หรือบางพื้นที่ประชาชนอาจไม่สามารถเข้าถึงบริการสาธารณสุข       
ตามแนวทางของ",,
FL-0256,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลบางระกำ,โครงการกองทุนหลักประกันสุขภาพ อบต./เทศบาล,2553,,"1.การปรับเปลี่ยนเป้าหมายของ                                                     
สปสช.จากเดิมที่กำหนดเป้าหมายให้องค์การบริหารส่วนตำบลหรือเทศบาลทุกแห่งจัดตั้ง    
กองทุนฯ ภายในปีงบประมาณ 2552 และกำหนดใหม่ตั้งแต่ พ.ศ.2553                       
เป็นต้นไปให้","๑.การจัดตั้งกองทุน ไม่ครบถ้วน/ต่ำกว่าเป้าหมาย จังหวัดตากมี                      
อบต./เทศบาลในพื้นที่ทั้งหมดจำนวน ๖๘ แห่ง ณ สิ้นปีงบประมาณ ๒๕๕๒ พบว่า มี         
 อบต./เทศบาลจัดตั้งกองทุนแล้ว ๔๗ แห่ง ต่ำกว่าเป้าหมายคิดเป็นร้อยละ ๓๐.๘๘        
๒.การสมทบเงิ","นายกองค์การบริหารส่วนตำบล/นายกเทศมนตรี                                          
ในฐานะประธานกรรมการบริหารระบบหลักประกันสุขภาพ พิจารณาดำเนินการ ดังนี้           
1. ให้ความสำคัญในการตั้งงบประมาณเพื่อสมทบกองทุนฯ อย่างต่อเนื่อง                 
และเมื่อได้ร","- ประชาชนในเขตพื้นที่ของ อปท. ที่ยังไม่ได้จัดตั้งกองทุนฯขาดโอกาสในการ           
มีส่วนร่วมในการบริหารจัดการงบประมาณและอาจไม่ได้รับการบริการด้านสาธารณสุข        
เชิงรุกที่เหมาะสม หรือบางพื้นที่ประชาชนอาจไม่สามารถเข้าถึงบริการสาธารณสุข       
ตามแนวทางของ",,
FL-0257,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลบางระกำ,โครงการกองทุนหลักประกันสุขภาพ อบต./เทศบาล,2553,,"1.การปรับเปลี่ยนเป้าหมายของ                                                     
สปสช.จากเดิมที่กำหนดเป้าหมายให้องค์การบริหารส่วนตำบลหรือเทศบาลทุกแห่งจัดตั้ง    
กองทุนฯ ภายในปีงบประมาณ 2552 และกำหนดใหม่ตั้งแต่ พ.ศ.2553                       
เป็นต้นไปให้","๑.การจัดตั้งกองทุน ไม่ครบถ้วน/ต่ำกว่าเป้าหมาย จังหวัดตากมี                      
อบต./เทศบาลในพื้นที่ทั้งหมดจำนวน ๖๘ แห่ง ณ สิ้นปีงบประมาณ ๒๕๕๒ พบว่า มี         
 อบต./เทศบาลจัดตั้งกองทุนแล้ว ๔๗ แห่ง ต่ำกว่าเป้าหมายคิดเป็นร้อยละ ๓๐.๘๘        
๒.การสมทบเงิ","นายกองค์การบริหารส่วนตำบล/นายกเทศมนตรี                                          
ในฐานะประธานกรรมการบริหารระบบหลักประกันสุขภาพ พิจารณาดำเนินการ ดังนี้           
1. ให้ความสำคัญในการตั้งงบประมาณเพื่อสมทบกองทุนฯ อย่างต่อเนื่อง                 
และเมื่อได้ร","- ประชาชนในเขตพื้นที่ของ อปท. ที่ยังไม่ได้จัดตั้งกองทุนฯขาดโอกาสในการ           
มีส่วนร่วมในการบริหารจัดการงบประมาณและอาจไม่ได้รับการบริการด้านสาธารณสุข        
เชิงรุกที่เหมาะสม หรือบางพื้นที่ประชาชนอาจไม่สามารถเข้าถึงบริการสาธารณสุข       
ตามแนวทางของ",,
FL-0258,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลบางระกำ,โครงการกองทุนหลักประกันสุขภาพ อบต./เทศบาล,2553,,"1.การปรับเปลี่ยนเป้าหมายของ                                                     
สปสช.จากเดิมที่กำหนดเป้าหมายให้องค์การบริหารส่วนตำบลหรือเทศบาลทุกแห่งจัดตั้ง    
กองทุนฯ ภายในปีงบประมาณ 2552 และกำหนดใหม่ตั้งแต่ พ.ศ.2553                       
เป็นต้นไปให้","๑.การจัดตั้งกองทุน ไม่ครบถ้วน/ต่ำกว่าเป้าหมาย จังหวัดพิษณุโลกมี                
$
อบต./เทศบาลในพื้นที่ทั้งหมดจำนวน ๑๐๒ แห่ง ณ สิ้นปีงบประมาณ ๒๕๕๒ พบว่า มี       
$
 อบต./เทศบาลจัดตั้งกองทุนแล้ว ๕๐ แห่ง ต่ำกว่าเป้าหมายคิดเป็นร้อยละ ๕๐.๙๘        
๒.การสมทบเ","นายกองค์การบริหารส่วนตำบล/นายกเทศมนตรี                                          
ในฐานะประธานกรรมการบริหารระบบหลักประกันสุขภาพ พิจารณาดำเนินการ ดังนี้           
1. ให้ความสำคัญในการตั้งงบประมาณเพื่อสมทบกองทุนฯ อย่างต่อเนื่อง                 
และเมื่อได้ร","- ประชาชนในเขตพื้นที่ของ อปท. ที่ยังไม่ได้จัดตั้งกองทุนฯขาดโอกาสในการ           
มีส่วนร่วมในการบริหารจัดการงบประมาณ และอาจไม่ได้รับการบริการด้าน                
สาธารณสุขเชิงรุกที่เหมาะสม หรือบางพื้นที่ประชาชนอาจไม่สามารถเข้าถึง             
บริการสาธารณ",,
FL-0259,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลบางระกำ,โครงการกองทุนหลักประกันสุขภาพ อบต./เทศบาล,2553,,"1.การปรับเปลี่ยนเป้าหมายของ                                                     
สปสช.จากเดิมที่กำหนดเป้าหมายให้องค์การบริหารส่วนตำบลหรือเทศบาลทุกแห่งจัดตั้ง    
กองทุนฯ ภายในปีงบประมาณ 2552 และกำหนดใหม่ตั้งแต่ พ.ศ.2553                       
เป็นต้นไปให้","๑.การจัดตั้งกองทุน ไม่ครบถ้วน/ต่ำกว่าเป้าหมาย จังหวัดพิษณุโลกมี                
$
อบต./เทศบาลในพื้นที่ทั้งหมดจำนวน ๑๐๒ แห่ง ณ สิ้นปีงบประมาณ ๒๕๕๒ พบว่า มี       
$
 อบต./เทศบาลจัดตั้งกองทุนแล้ว ๕๐ แห่ง ต่ำกว่าเป้าหมายคิดเป็นร้อยละ ๕๐.๙๘        
๒.การสมทบเ","นายกองค์การบริหารส่วนตำบล/นายกเทศมนตรี                                          
ในฐานะประธานกรรมการบริหารระบบหลักประกันสุขภาพ พิจารณาดำเนินการ ดังนี้           
1. ให้ความสำคัญในการตั้งงบประมาณเพื่อสมทบกองทุนฯ อย่างต่อเนื่อง                 
และเมื่อได้ร","- ประชาชนในเขตพื้นที่ของ อปท. ที่ยังไม่ได้จัดตั้งกองทุนฯขาดโอกาสในการ           
มีส่วนร่วมในการบริหารจัดการงบประมาณ และอาจไม่ได้รับการบริการด้าน                
สาธารณสุขเชิงรุกที่เหมาะสม หรือบางพื้นที่ประชาชนอาจไม่สามารถเข้าถึง             
บริการสาธารณ",,
FL-0260,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลบางระกำ,โครงการกองทุนหลักประกันสุขภาพ อบต./เทศบาล,2553,,"1.การปรับเปลี่ยนเป้าหมายของ                                                     
สปสช.จากเดิมที่กำหนดเป้าหมายให้องค์การบริหารส่วนตำบลหรือเทศบาลทุกแห่งจัดตั้ง    
กองทุนฯ ภายในปีงบประมาณ 2552 และกำหนดใหม่ตั้งแต่ พ.ศ.2553                       
เป็นต้นไปให้","๑.การจัดตั้งกองทุน ไม่ครบถ้วน/ต่ำกว่าเป้าหมาย จังหวัดตากมี                      
อบต./เทศบาลในพื้นที่ทั้งหมดจำนวน ๖๘ แห่ง ณ สิ้นปีงบประมาณ ๒๕๕๒ พบว่า มี         
 อบต./เทศบาลจัดตั้งกองทุนแล้ว ๔๗ แห่ง ต่ำกว่าเป้าหมายคิดเป็นร้อยละ ๓๐.๘๘        
๒.การสมทบเงิ","นายกองค์การบริหารส่วนตำบล/นายกเทศมนตรี                                          
ในฐานะประธานกรรมการบริหารระบบหลักประกันสุขภาพ พิจารณาดำเนินการ ดังนี้           
1. ให้ความสำคัญในการตั้งงบประมาณเพื่อสมทบกองทุนฯ อย่างต่อเนื่อง                 
และเมื่อได้ร","- ประชาชนในเขตพื้นที่ของ อปท. ที่ยังไม่ได้จัดตั้งกองทุนฯขาดโอกาสในการ           
มีส่วนร่วมในการบริหารจัดการงบประมาณและอาจไม่ได้รับการบริการด้านสาธารณสุข        
เชิงรุกที่เหมาะสม หรือบางพื้นที่ประชาชนอาจไม่สามารถเข้าถึงบริการสาธารณสุข       
ตามแนวทางของ",,
FL-0261,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลบางระกำ,โครงการกองทุนหลักประกันสุขภาพ อบต./เทศบาล,2553,,"1.การปรับเปลี่ยนเป้าหมายของ                                                     
สปสช.จากเดิมที่กำหนดเป้าหมายให้องค์การบริหารส่วนตำบลหรือเทศบาลทุกแห่งจัดตั้ง    
กองทุนฯ ภายในปีงบประมาณ 2552 และกำหนดใหม่ตั้งแต่ พ.ศ.2553                       
เป็นต้นไปให้","๑.การจัดตั้งกองทุน ไม่ครบถ้วน/ต่ำกว่าเป้าหมาย จังหวัดพิษณุโลกมี                
$
อบต./เทศบาลในพื้นที่ทั้งหมดจำนวน ๑๐๒ แห่ง ณ สิ้นปีงบประมาณ ๒๕๕๒ พบว่า มี       
$
 อบต./เทศบาลจัดตั้งกองทุนแล้ว ๕๐ แห่ง ต่ำกว่าเป้าหมายคิดเป็นร้อยละ ๕๐.๙๘        
๒.การสมทบเ","นายกองค์การบริหารส่วนตำบล/นายกเทศมนตรี                                          
ในฐานะประธานกรรมการบริหารระบบหลักประกันสุขภาพ พิจารณาดำเนินการ ดังนี้           
1. ให้ความสำคัญในการตั้งงบประมาณเพื่อสมทบกองทุนฯ อย่างต่อเนื่อง                 
และเมื่อได้ร","- ประชาชนในเขตพื้นที่ของ อปท. ที่ยังไม่ได้จัดตั้งกองทุนฯขาดโอกาสในการ           
มีส่วนร่วมในการบริหารจัดการงบประมาณ และอาจไม่ได้รับการบริการด้าน                
สาธารณสุขเชิงรุกที่เหมาะสม หรือบางพื้นที่ประชาชนอาจไม่สามารถเข้าถึง             
บริการสาธารณ",,
FL-0262,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลบางระกำ,โครงการกองทุนหลักประกันสุขภาพ อบต./เทศบาล,2553,,"1.การปรับเปลี่ยนเป้าหมายของ                                                     
สปสช.จากเดิมที่กำหนดเป้าหมายให้องค์การบริหารส่วนตำบลหรือเทศบาลทุกแห่งจัดตั้ง    
กองทุนฯ ภายในปีงบประมาณ 2552 และกำหนดใหม่ตั้งแต่ พ.ศ.2553                       
เป็นต้นไปให้","๑.การจัดตั้งกองทุน ไม่ครบถ้วน/ต่ำกว่าเป้าหมาย จังหวัดพิษณุโลกมี                
$
อบต./เทศบาลในพื้นที่ทั้งหมดจำนวน ๑๐๒ แห่ง ณ สิ้นปีงบประมาณ ๒๕๕๒ พบว่า มี       
$
 อบต./เทศบาลจัดตั้งกองทุนแล้ว ๕๐ แห่ง ต่ำกว่าเป้าหมายคิดเป็นร้อยละ ๕๐.๙๘        
๒.การสมทบเ","นายกองค์การบริหารส่วนตำบล/นายกเทศมนตรี                                          
ในฐานะประธานกรรมการบริหารระบบหลักประกันสุขภาพ พิจารณาดำเนินการ ดังนี้           
1. ให้ความสำคัญในการตั้งงบประมาณเพื่อสมทบกองทุนฯ อย่างต่อเนื่อง                 
และเมื่อได้ร","- ประชาชนในเขตพื้นที่ของ อปท. ที่ยังไม่ได้จัดตั้งกองทุนฯขาดโอกาสในการ           
มีส่วนร่วมในการบริหารจัดการงบประมาณ และอาจไม่ได้รับการบริการด้าน                
สาธารณสุขเชิงรุกที่เหมาะสม หรือบางพื้นที่ประชาชนอาจไม่สามารถเข้าถึง             
บริการสาธารณ",,
FL-0263,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลบางระกำ,โครงการกองทุนหลักประกันสุขภาพ อบต./เทศบาล,2553,,"1.การปรับเปลี่ยนเป้าหมายของ                                                     
สปสช.จากเดิมที่กำหนดเป้าหมายให้องค์การบริหารส่วนตำบลหรือเทศบาลทุกแห่งจัดตั้ง    
กองทุนฯ ภายในปีงบประมาณ 2552 และกำหนดใหม่ตั้งแต่ พ.ศ.2553                       
เป็นต้นไปให้","๑.การจัดตั้งกองทุน ไม่ครบถ้วน/ต่ำกว่าเป้าหมาย จังหวัดตากมี                      
อบต./เทศบาลในพื้นที่ทั้งหมดจำนวน ๖๘ แห่ง ณ สิ้นปีงบประมาณ ๒๕๕๒ พบว่า มี         
 อบต./เทศบาลจัดตั้งกองทุนแล้ว ๔๗ แห่ง ต่ำกว่าเป้าหมายคิดเป็นร้อยละ ๓๐.๘๘        
๒.การสมทบเงิ","นายกองค์การบริหารส่วนตำบล/นายกเทศมนตรี                                          
ในฐานะประธานกรรมการบริหารระบบหลักประกันสุขภาพ พิจารณาดำเนินการ ดังนี้           
1. ให้ความสำคัญในการตั้งงบประมาณเพื่อสมทบกองทุนฯ อย่างต่อเนื่อง                 
และเมื่อได้ร","- ประชาชนในเขตพื้นที่ของ อปท. ที่ยังไม่ได้จัดตั้งกองทุนฯขาดโอกาสในการ           
มีส่วนร่วมในการบริหารจัดการงบประมาณและอาจไม่ได้รับการบริการด้านสาธารณสุข        
เชิงรุกที่เหมาะสม หรือบางพื้นที่ประชาชนอาจไม่สามารถเข้าถึงบริการสาธารณสุข       
ตามแนวทางของ",,
FL-0264,การดำเนินงานไม่บรรลุวัตถุประสงค์เป้าหมายของโครงการ                                                  ,เทศบาลตำบลบางระกำ,โครงการกองทุนหลักประกันสุขภาพ อบต./เทศบาล,2553,,"1.การปรับเปลี่ยนเป้าหมายของ                                                     
สปสช.จากเดิมที่กำหนดเป้าหมายให้องค์การบริหารส่วนตำบลหรือเทศบาลทุกแห่งจัดตั้ง    
กองทุนฯ ภายในปีงบประมาณ 2552 และกำหนดใหม่ตั้งแต่ พ.ศ.2553                       
เป็นต้นไปให้","๑.การจัดตั้งกองทุน ไม่ครบถ้วน/ต่ำกว่าเป้าหมาย จังหวัดตากมี                      
อบต./เทศบาลในพื้นที่ทั้งหมดจำนวน ๖๘ แห่ง ณ สิ้นปีงบประมาณ ๒๕๕๒ พบว่า มี         
 อบต./เทศบาลจัดตั้งกองทุนแล้ว ๔๗ แห่ง ต่ำกว่าเป้าหมายคิดเป็นร้อยละ ๓๐.๘๘        
๒.การสมทบเงิ","นายกองค์การบริหารส่วนตำบล/นายกเทศมนตรี                                          
ในฐานะประธานกรรมการบริหารระบบหลักประกันสุขภาพ พิจารณาดำเนินการ ดังนี้           
1. ให้ความสำคัญในการตั้งงบประมาณเพื่อสมทบกองทุนฯ อย่างต่อเนื่อง                 
และเมื่อได้ร","- ประชาชนในเขตพื้นที่ของ อปท. ที่ยังไม่ได้จัดตั้งกองทุนฯขาดโอกาสในการ           
มีส่วนร่วมในการบริหารจัดการงบประมาณและอาจไม่ได้รับการบริการด้านสาธารณสุข        
เชิงรุกที่เหมาะสม หรือบางพื้นที่ประชาชนอาจไม่สามารถเข้าถึงบริการสาธารณสุข       
ตามแนวทางของ",,
